19981207.0700.inter_fm_dga               19981207_0700_0800_inter_fm_dga
19981207.0800.inter_fm_dga               19981207_0800_0900_inter_fm_dga
19981208.0700.inter_fm_dga               19981208_0700_0800_inter_fm_dga
19981208.0800.inter_fm_dga               19981208_0800_0900_inter_fm_dga
19981209.0700.inter_fm_dga               19981209_0700_0800_inter_fm_dga
19981209.0800.inter_fm_dga               19981209_0800_0900_inter_fm_dga
19981210.0700.inter_fm_dga               19981210_0700_0800_inter_fm_dga
19981210.0800.inter_fm_dga               19981210_0800_0900_inter_fm_dga
19981211.0700.inter_fm_dga               19981211_0700_0800_inter_fm_dga
19981211.0800.inter_fm_dga               19981211_0800_0900_inter_fm_dga
19981214.0700.inter_fm_dga               19981214_0700_0800_inter_fm_dga
19981214.0800.inter_fm_dga               19981214_0800_0900_inter_fm_dga
19981215.0700.inter_fm_dga               19981215_0700_0800_inter_fm_dga
19981215.0800.inter_fm_dga               19981215_0800_0900_inter_fm_dga
19981216.0700.inter_fm_dga               19981216_0700_0800_inter_fm_dga
19981216.0800.inter_fm_dga               19981216_0800_0900_inter_fm_dga
19981217.0700.inter_fm_dga               19981217_0700_0800_inter_fm_dga
19981217.0800.inter_fm_dga               19981217_0800_0900_inter_fm_dga
19981218.0700.inter_fm_dga               19981218_0700_0800_inter_fm_dga
19981218.0800.inter_fm_dga               19981218_0800_0900_inter_fm_dga
19990527.1900.inter_fm_dga               19990527_1900_1920_inter_fm_dga
19990607.1900.inter_fm_dga               19990607_1900_1920_inter_fm_dga
19990608.1900.inter_fm_dga               19990608_1900_1920_inter_fm_dga
19990609.1900.inter_fm_dga               19990609_1900_1920_inter_fm_dga
19990610.1900.inter_fm_dga               19990610_1900_1920_inter_fm_dga
19990611.1900.inter_fm_dga               19990611_1900_1920_inter_fm_dga
19990614.1900.inter_fm_dga               19990614_1900_1920_inter_fm_dga
19990616.1900.inter_fm_dga               19990616_1900_1920_inter_fm_dga
19990617.1900.inter_fm_dga               19990617_1900_1920_inter_fm_dga
19990618.1900.inter_fm_dga               19990618_1900_1920_inter_fm_dga
19990621.1900.inter_fm_dga               19990621_1900_1920_inter_fm_dga
19990622.1900.inter_fm_dga               19990622_1900_1920_inter_fm_dga
19990623.1900.inter_fm_dga               19990623_1900_1920_inter_fm_dga
19990624.1900.inter_fm_dga               19990624_1900_1920_inter_fm_dga
19990625.1900.inter_fm_dga               19990625_1900_1920_inter_fm_dga
